Search Parameters	Year	Mo	Dy	Date	Hr	Mn	Sec	Tsu	Vol	Location Name	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Death Description	Missing	Missing Description	Injuries	Injuries Description	Damage ($Mil)	Damage Description	Houses Destroyed	Houses Destroyed Description	Houses Damaged	Houses Damaged Description	Total Deaths	Total Death Description	Total Missing	Total Missing Description	Total Injuries	Total Injuries Description	Total Damage ($Mil)	Total Damage Description	Total Houses Destroyed	Total Houses Destroyed Description	Total Houses Damaged	Total Houses Damaged Description
	2005	1	10	2005-01-10	18	47	30.1			IRAN:  GORGAN	37.103	54.574	32	5.4						110	3											110	3						
	2005	1	19	2005-01-19	6	11	36.4	2466		JAPAN:  EAST COAST HONSHU	34.064	141.491	28	6.6																									
	2005	1	20	2005-01-20	18	56	30.7			NEW ZEALAND:  NORTH ISLAND	-41.223	175.21	39	5.3									1												1				
	2005	1	23	2005-01-23	20	10	12.1			INDONESIA:  SULAWESI:  PALU	-1.198	119.933	11	6.3		1	1			4	1		2					1	1			4	1		2				
	2005	1	24	2005-01-24	23	23	26.1			"ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO"	-1.364	-80.785	17	6.1									2		2										2		2		
	2005	1	25	2005-01-25	16	30	38.9			CHINA:  YUNNAN PROVINCE:  SIMAO	22.526	100.709	12	4.8						3	1		1									3	1		1				
	2005	1	25	2005-01-25	16	44	16.1			TURKEY:  HAKKARI	37.622	43.703	41	5.9		2	1			22	1		1					2	1			22	1		1				
	2005	1	29	2005-01-29	7	41	31			"SPAIN:  LA PACA, ZARCILLA DE RAMOS"	37.91	-1.82	5	4.4									2												2				
	2005	2	2	2005-02-02	5	55	18.2			INDONESIA:  JAVA:  GARUT	-7.037	107.819	15	4.8		1	1				2		2		2		2	1	1				2		2		2		
	2005	2	14	2005-02-14	18	5	59.3	4802		GUADELOUPE	15.775	-61.744	12	5.8																									
	2005	2	14	2005-02-14	23	38	8.6			CHINA:  XINJIANG PROVINCE:  WUSHI	41.728	79.44	22	6.1									3	6000	4										3	6000	4		
	2005	2	15	2005-02-15	11	15	11.7			INDIA:  KHASPUR	24.55	92.524	35	5.1									1												1				
	2005	2	22	2005-02-22	2	25	22.9			IRAN:  KERMAN PROVINCE:  ZARAND	30.754	56.816	14	6.4		612	3			1411	4		4	8000	4	8000	4	612	3			1411	4		4	8000	4		
	2005	3	2	2005-03-02	11	12	14.9			PAKISTAN:  QUETTA	30.378	68.038	52	4.9						1	1		1									1	1		1				
	2005	3	9	2005-03-09	10	15	31.8			"SOUTH AFRICA:  KLERKSDORP, STILFONTEIN"	-26.913	26.789	5	4.3		2	1			58	2		2					2	1			58	2		2				
	2005	3	12	2005-03-12	7	36	12.1			"TURKEY:  CAT, KARLIOVA"	39.44	40.978	11	5.6						16	1		2									16	1		2				
	2005	3	13	2005-03-13	3	31	23			IRAN:  SARAVAN	27.095	61.887	54	6									1												1				
	2005	3	14	2005-03-14	1	55	55.6			TURKEY:  EASTERN:  BINGOL PROVINCE	39.354	40.89	5	5.8						18	1		3		2		2					18	1		3		2		
	2005	3	14	2005-03-14	9	43	49.1			"INDIA:  MAHARASHTRA:  KOLHAPUR, RATNAGIRI, SATARA"	17.145	73.73	10	4.9						45	1		2									45	1		2				
	2005	3	15	2005-03-15	2	7	6.8			INDIA:  MAHARASHTRA:  DHEBEWADI	17.072	73.668	10	4.3									1												1				
	2005	3	20	2005-03-20	1	53	41.8			"JAPAN:  KYUSHU:  FUKUOKA, GENKAI"	33.807	130.131	10	6.6		1	1			500	3		2	65	2			1	1			500	3		2	65	2		
	2005	3	28	2005-03-28	16	9	36.5	2487		INDONESIA:  SUMATERA:  SW	2.085	97.108	30	8.6		1303	4			340	3	37.36	4	300	3	300	3	1319	4			340	3	37.36	4	300	3		
	2005	4	10	2005-04-10	10	29	11.2	2507		INDONESIA:  PADANG	-1.644	99.607	19	6.7	5																								
	2005	6	13	2005-06-13	22	44	33.9			CHILE:  TARAPACA	-19.987	-69.197	116	7.7		11	1			200	3			544	3			11	1			200	3			544	3		
	2005	6	15	2005-06-15	2	50	53.1	2547		CALIFORNIA:  OFF COAST NORTHERN	41.301	-125.97	10	7.2	4																								
	2005	7	5	2005-07-05	1	52	2.9			INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI	1.819	97.082	21	6.7									1												1				
	2005	7	9	2005-07-09	23	59	17			INDONESIA:  SULAWESI:  DONGGALA	-1.174	119.963	32	5.9									1	6	1	6	1								1	6	1		
	2005	7	10	2005-07-10	13	10	12.1			ALBANIA:  TROPOJE	42.389	19.812	4	5.2									1		1										1		1		
	2005	7	18	2005-07-18	2	4	59.8			INDONESIA:  TIMOR:  TIMOR TENGAH UTARA	-9.948	124.48	10	5.3									1		1		1								1		1		
	2005	7	23	2005-07-23	7	34	56.7			JAPAN:  HONSHU:  TOKYO	35.498	139.982	61	5.9						27	1		1	1	1							27	1		1	1	1		
	2005	7	24	2005-07-24	15	42	6.2			"INDIA:  ANDAMAN ISLANDS,  NICOBAR ISLANDS"	7.92	92.19	16	7.2									1		1		1								1		1		
	2005	7	25	2005-07-25	15	43	41.1			CHINA:  DAQING	46.827	125.058	48	4.7		1	1			12	1							1	1			12	1						
	2005	7	26	2005-07-26	4	8	37.1			"MONTANA:  DILLON, SILVER STAR, TWIN BRIDGES"	45.365	-112.615	13	5.6	6								1												1				
	2005	7	30	2005-07-30	21	45	0			"TURKEY:  BAHCEKARADALAK, SIRAPINAR, YENIYAPANSEYHLI"	39.437	33.089	5	5.3									1												1				
	2005	8	5	2005-08-05	14	14	48			CHINA:  YUNNAN PROVINCE:  HUIZE	26.569	103.036	42	4.8						9	1		2	3700	4	3700	4					9	1		2	3700	4		
	2005	8	5	2005-08-05	18	7	13.8			VIETNAM:  HO CHI MINH CITY	9.985	108.383	10	4.5									1												1				
	2005	8	9	2005-08-09	5	9	20.8			IRAN:  FIRUZABAD	28.85	52.56	10	5.1									1												1				
	2005	8	13	2005-08-13	4	58	44.8			CHINA:  YUNNAN PROVINCE:  WENSHAN	23.627	104.103	10	4.5						26	1		1		2		2					26	1		1		2		
	2005	8	14	2005-08-14	2	39	40.3			CHILE:  TARAPACA	-19.78	-68.98	11	5.8									1												1				
	2005	8	14	2005-08-14	6	33	32.5			INDIA:  MAHARASHTRA	17.398	74.118	35	4.4	7								2												2				
	2005	8	16	2005-08-16	2	46	28.4	2548		JAPAN:  EAST COAST HONSHU	38.276	142.039	36	7.2						56	2		1	1	1							56	2		1	1	1		
	2005	8	16	2005-08-16	3	45	54.1			INDIA:  UTTARANCHAL:  UTTARKAHI	30.924	78.56	43	4.4	6								1		1		1								1		1		
	2005	8	30	2005-08-30	8	53	17.4			"INDIA: MAHARASHTRA: AMBEGHAR, DICHOLI, KISRULE"	17.067	73.773	10	4.7	6								1												1				
	2005	9	9	2005-09-09	7	26	43.7			PAPUA NEW GUINEA:  NEW IRELAND	-4.539	153.474	90	7.7																									
	2005	9	24	2005-09-24	19	24	2.6			ETHIOPIA:  DABBAHU	12.471	40.634	12	5.6																					2				
	2005	9	26	2005-09-26	1	55	37.6			"PERU:  LAMAS, CHACHAPOYAS, MOYOBAMBA, TARAPOTA"	-5.678	-76.398	115	7.5		5	1			60	2		2		3			5	1			60	2		2		3		
	2005	10	1	2005-10-01	22	19	51.3			PERU:  MOQUEGUA	-16.635	-70.794	20	5.3						10	1		1	300	3							10	1		1	300	3		
	2005	10	8	2005-10-08	3	50	39.1			"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA"	34.451	73.649	15	7.6	8	76213	4			146599	4	6680	4		3		3	76213	4			146599	4	6680	4		3		
	2005	10	20	2005-10-20	21	40	4			TURKEY:  IZMIR	38.152	26.751	10	5.9		1	1			15	1		1		2		2	1	1			15	1		1		2		
	2005	10	24	2005-10-24	17	35	33.8			ECUADOR:  BAEZA	-0.507	-77.745	35	4.8	6								1												1				
	2005	10	27	2005-10-27	11	18	57.3			CHINA:  GUANGXI PROVINCE	23.604	107.798	10	4.2		1	1			1	1		1		1			1	1			1	1		1		1		
	2005	10	31	2005-10-31	2	10	28.7			PERU:  N	-5.852	-78.704	40	5.4										20	1											20	1		
	2005	11	14	2005-11-14	21	38	51.4	2590		JAPAN:  EAST COAST HONSHU	38.107	144.896	11	7																									
	2005	11	26	2005-11-26	0	49	37.6			"CHINA:  JIANGXI:  JIUJIANG, RUICHANG"	29.695	115.689	10	5.2		16	1			8000	4		3	150000	4			16	1			8000	4		3	150000	4		
	2005	11	26	2005-11-26	15	56	55			TURKEY:  DOGANYOL	38.26	38.814	9	4.4									1												1				
	2005	11	27	2005-11-27	10	22	19.1			"IRAN:  QESHM, ZIRANG"	26.774	55.858	10	6		13	1			100	2		2					13	1			100	2		2				
	2005	12	5	2005-12-05	12	19	56.6			CONGO:  KALEMIE	-6.224	29.83	22	6.8	4	6	1						1	300	3			6	1						1	300	3		
	2005	12	12	2005-12-12	21	47	46			"AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN"	36.357	71.093	225	6.5		5	1			1	1		1	100	2	100	2	5	1			1	1		1	100	2		
	2005	12	14	2005-12-14	7	9	54.1			"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG"	30.476	79.255	44	5.3		1	1			4	1		2	1	1	1	1	1	1			4	1		2	1	1		
	2005	12	24	2005-12-24	3	56	7.3			TURKEY:  AKHISAR	38.804	26.783	14	4.3									1												1				
	2006	1	1	2006-01-01	7	11	57	5795	7540	JAPAN:  HONSHU:  S. OF	31.394	140.131	10	5.6																									
	2006	1	8	2006-01-08	11	34	55.6			GREECE:  SOUTHERN	36.311	23.212	66	6.7						3	1		1		1							3	1		1		1		
	2006	1	27	2006-01-27	16	58	53.6			INDONESIA:  BANDA SEA	-5.473	128.131	397	7.6																									
	2006	2	14	2006-02-14	0	55	25			INDIA:  SIKKIM	27.382	88.388	30	5.3		2	1			2	1		1					2	1			2	1		1				
	2006	2	20	2006-02-20	17	20	9			GREECE-BULGARIA BORDER REGION	41.708	25.544	10	4.6						2	1				1		1					2	1				1		
	2006	2	22	2006-02-22	22	19	7.8			MOZAMBIQUE	-21.324	33.583	11	7	5	4	1			36	1		2	294	3			4	1			36	1		2	294	3		
	2006	2	23	2006-02-23	20	4	53.5			BHUTAN:  TASHIGANG	26.912	91.705	10	5.8									1	126	3	126	3								1	126	3		
	2006	2	28	2006-02-28	7	31	2.6			IRAN:  SOUTHERN	28.12	56.865	18	6						6	1		2		3		3					6	1		2		3		
	2006	3	7	2006-03-07	18	20	46.1			INDIA:  GUJARAT	23.777	70.899	10	5.5						7	1		1		1		1					7	1		1		1		
